"paper_id","who_entered","biome","species_num","species_list","study_scale","study_type","study_level","rep_number","growth_metric","gsl_metric","gsl_start_metric","gsl_end_metric","authorsthink_evidence_gslxgrowth","authorsthink_evidence_gslxgrowth_notsure","authorsthink_evidence_gslxgrowth_suitabledays_or_starttoend","authorsthink_teststatistic","authorsthink_ALTteststatistic:","teststatistic_where","youthink_evidence_gslxgrowth","youthink_evidence_gslxgrowth_notsure","ifyouthink_no_why","authorslooked_externalfactors","authorslooked_externalfactors_notsure","authorsfoundevidencefor_externalfactors","authorsfoundevidencefor_externalfactors_notsure","ifyes_whichexternal","authorslooked_endogenousfactors","authorslooked_endogenousfactors_notsure","authorsfoundevidencefor_endogenousfactors","authorsfoundevidencefor_endogenousfactors_notsure","ifyes_whichendogenous","double_entry","excellent_study","big_problems","missing_something_major","notes","notes_specific_columns","paperid","simple.authorsthink.gslxgrowth","simple.wethink.gslxgrowth","simple.growth.metric"
"Soolananayakanahally2013","Alana","Boreal","1","Populus balsamifera","35 provenances across Canada (full species range), 2 common gardens southern canada","provenance","across sites/populations","525 genotypes","height,  root:shoot ratio","plant vegetative phenology","onset vegetative","end vegetative, end height","yes","yes","correlation between height growth duration and height","yes",NA,"fig 5 (height) and pg 121 (biomass)","yes, but height only not biomass etc","Seems that the height metric was cherry-picked because the others showed different results, garden with fewer GDD had more biomass, total height growth was related to length of height growth",NA,"no",NA,"no",NA,NA,"yes",NA,"yes",NA,"provenance latitude","yes","no"," focused discussion/abstract on the results that fit their message, burried the nuance in the results",NA,"decent stats/clarity","growth_metric: subset of individuals harvested for biomass - very hard to tell which they meant throughout when referencing growth especially in the difference between sites.   authorsthink_evidence_gslbygrowth: so this was weird, height was correlated with duration of height growth
But biomass growth was highest at the site with fewer GDD and shorter height growth duration.   authorsthink_teststatistic: relationship between GDD and biomass was really a difference between the 2 gardens not directly attributed to GDD","soolananayakanahally2013",NA,"yes, but height only not biomass etc","biomass/height/R:S"
"Soolananayakanahally2013","Alana","Boreal","1","Populus balsamifera","four genotypes from six populations","greenhouse or chamber","across individuals","24 individuals","height,  root:shoot ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"yes",NA,"day length","yes","no","",NA,NA,"","soolananayakanahally2013",NA,NA,"biomass/height/R:S"
"Zhang2021","Alana","Boreal","1","Juniperus przewlaskii","2 forests tibeten plateau","tree ring","across individuals","5 trees","intra-annual core (xylogeneis)","wood phenology","onset wood","onset wood","no","no","no",NA,NA,NA,"no",NA,NA,"yes",NA,"yes",NA,"temperature, rainfall","no",NA,NA,NA,NA,"no","no","",NA,"weirdly small sample size even for what they did","study_level: intraannual growth microcores for 6 years.    rep_number: was it 5 trees total or 5 per site????    ifyes_whichexternal: test stat in Fig 6","zhang2021",NA,"no","intra-annual core"
"Brand2022","Alana","temperate treeline","1","Nothofagus pomilio","7 forests Patagonian Andes","tree ring","across years within individuals","30 trees per site (210), 2-3 cores per tree","annual core","elevation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"yes",NA,"temperature","no",NA,NA,NA,NA,"no","no","",NA,"not really a phenology study","growth is increasing at high elevations as temperatures rise","brand2022",NA,NA,"annual core"
"dow2022","emw","temperate forest","10+ Table S1","Carya, Fraxinus, Quercus, Acer, Betula, Fagus, Liriodendron, Magnolia, Nyssa, Populus","2 northeast forests","tree ring","across years within individuals ","n = 119 trees from 2011 to 2020 for HF; 321 trees from 1998 to 2003","dendrometer diameter","satellite derived ","greenup","senescence","no",NA,"starttoend","no","there was no consistent lengthening of Lpgs","Fig. 1 and Extended Data Figs. 3 and 4","no",NA,"no test of GSL x growth","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes","Sadly no, because they never actually test the GSL to growth link. ","Did not correlate phenology and growth; correlated something like spring phenology sensitivity (they call it CTW, see bottom right pg 554) with growth (multiple metrics)","GSL x growth (they have the data)","","","dow2022",NA,"no","dendrometer diameter"
"dow2022","emw","temperate forest","10+ Table S1","Carya, Fraxinus, Quercus, Acer, Betula, Fagus, Liriodendron, Magnolia, Nyssa, Populus","2 northeast forests","tree ring","across years within individuals ","207 chronologies","annual core","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"yes",NA,"high summer temperatures","no",NA,NA,NA,NA,"yes","See other row of data for this paper","This is followup to their phenology x dendrometer part of the paper, they used tree rings to look at lots of correlations.","","","","dow2022",NA,NA,"annual core"
"Etzold2021","emw","temperate forest","7","Picea abies, Pinus sylvestris, Abies alba, Fagus sylvatica, Fraxinus excelsior, Quercus petraea, Quercus pubescens","TreeNet; 47 sites and 8 years of data","tree ring","within and across years within individuals","8 years","dendrometer diameter","wood phenology","onset wood","end wood","no",NA,"starttoend","yes",NA,"phenology hardly contributed to explain the inter-annual variation in annual growth, whereas growth activity, particularly N daysgrowth, turned out to be the most important predictor in the LMM explaining 65% to 88% of the inter- annual variation (Table S3, Figure S8).","not sure","so many tests,  and many with covariates (photoperiod!) so hard to know",NA,"yes",NA,"yes",NA,"soil moisture, VPD, temperature","yes",NA,"yes",NA,"Species including ring vs. diffuse porous","yes","This is a very important study for us as they have data on lots of our surrounding questions","their 'dredge' approach the analyses is diffiucult to interpret (and yikes, photoperiod as covariate)","better models","","","etzold2021",NA,"unsure","dendrometer diameter"
"Silvestro2023","emw","temperate forest","1","Abies balsamea","Montmorency Forest, Quebec","tree ring","within individuals for < 1 year (April to October 2018)","27 trees","intra-annual core","wood phenology","onset wood","end wood","no",NA,"starttoend","no","lots of duration of xylogenesis (as Y variable) with xylem cell production","Fig 5","not sure","no clear test, also low sample size",NA,"no",NA,NA,NA,NA,"not sure","They looked at lots of 'anatomical features' and lots about early/latewood … maybe that counts?",NA,NA,NA,"yes","no","sample size","More data people","Though I realize these data are painstaking to collect","endogenous: they think they looked at this, they write: Our study provides an eco-physiological explanation that reflects the interaction between the endogenous and environmental factors driving xylem phenology and wood production.","silvestro2023",NA,"unsure","intra-annual core"
"Buermann2018","KP","North hemisphere vegeation",NA,"No specific species","North hemisphere","satellite","across sites/populations","not sure","NDVI/greenness","not measured","Spring temperature","none","not mentioned",NA,NA,NA,NA,NA,NA,NA,NA,"yes - growth",NA,"yes - growth",NA,"spring temperature mainly, but also elevation, precipication (they also looked at land cover and other climate variables)","no",NA,NA,NA,NA,"no study is not very relevant","","The study didn't really look at direct metrics of growth or growing season so not really. They didn't explicitly look at growing season length but did examine spring temp and productivty. I though it was cool that they looked at productivity in spring but also in summer and fall separatelt and were able to find lags that were somewhat explained by elevation and precipiation","","","","buermann2018",NA,NA,"NDVI/LAI"
"Buermann2018","KP","North hemisphere vegeation",NA,"No specific species","North hemisphere","satellite","across sites/populations","not sure","photosynthesis etc. (uptake, Amax etc.)","not measured","Spring temperature","none","not mentioned",NA,NA,NA,NA,NA,NA,NA,NA,"yes - growth",NA,"yes - growth",NA,"spring temperature mainly, but also elevation, precipication (they also looked at land cover and other climate variables)","no",NA,NA,NA,NA,"no study is not very relevant","","The study didn't really look at direct metrics of growth or growing season so not really. They didn't explicitly look at growing season length but did examine spring temp and productivty. I though it was cool that they looked at productivity in spring but also in summer and fall separatelt and were able to find lags that were somewhat explained by elevation and precipiation","","","","buermann2018",NA,NA,"photosynthesis"
"Buermann2018","KP","North hemisphere vegeation",NA,"No specific species","North hemisphere","satellite","across sites/populations","not sure","LAI (satellite)","not measured","Spring temperature","none","not mentioned",NA,NA,NA,NA,NA,NA,NA,NA,"yes - growth",NA,"yes - growth",NA,"spring temperature mainly, but also elevation, precipication (they also looked at land cover and other climate variables)","no",NA,NA,NA,NA,"no study is not very relevant","","The study didn't really look at direct metrics of growth or growing season so not really. They didn't explicitly look at growing season length but did examine spring temp and productivty. I though it was cool that they looked at productivity in spring but also in summer and fall separatelt and were able to find lags that were somewhat explained by elevation and precipiation","","","","buermann2018",NA,NA,"NDVI/LAI"
"Eckes-Shephard2020","KP","temperate montane coniferous","2","Larix decidua, Picea abies","1 site in monitoring network inner-alpine Swiss Rhône valley","tree ring","across years within individuals","not sure","annual core","wood phenology","onset wood","end wood","not mentioned",NA,NA,NA,NA,NA,NA,NA,NA,"yes - growth",NA,"yes - growth",NA,"soil moisture","no",NA,NA,NA,NA,"maybe","","This study measured gsl, but only to look at the effect on growth of exogenous factors (soil moisture). It's not really looking at GSLxGrowth relationships","I think they have to dat to start looking at GSLXgrowth too, but not sure why they didn’t","","","eckes-shephard2020",NA,NA,"annual core"
"Francon2020","KP","subalpine","1","Rhododendron ferrugineum L","3 sites along elevational gradient and 80 individuals","tree ring","across years within individuals","49","annual core","not measured","snow meltout and snow free growing degree days","none","not mentioned",NA,NA,NA,NA,NA,NA,NA,NA,"yes - growth",NA,"yes - growth",NA,"Seasonal precip and May temp","no",NA,NA,NA,NA,"maybe","They didn’t explicitly look at GSL, but they did use snow melt out and snow free growing degree days as a proxy. If we believe this is a good proxy for start of growing season for this shrub then the paper was good and looked at variation in response to cliamte across elevations too. I just wish they had explicitly also looked at leaf phenology to describe growing season onset","","","the paper is only about SOS and not about GSL, but they did find relationship between SOS and growth (fig 5)","authorsthink_evidence_gslxgrowth","francon2020",NA,NA,"annual core"
"Vitasse 2009","JHRL","temperate deciduous forest","6","Abies alba, Acer pseudoplatanus, Fagus sylvatica, Fraxinus excelsior, Ilex aquifolium, Quercus petraea","seeds on average from 9 provenances for each species (ranging from 6-13 depending on species) located along 2 elevational gradients in the Pyrenees (French side), planted in 1 common garden at sea level in SW France","provenance trial","across provenances within species","Average of 25 individual seedlings per provenance (meaning 150+ seedlings per species)","height (annual heigh increment)","plant vegetative phenology (budburst, leafout); specifically period between leaf unfolding and senescence","onset vegetative","end vegetative","yes (for 2 of six species (beech and oak). Not significant for the other four species.",NA,"start to end","yes (pearsons correlation coefficients in table 3)",NA,"table 3","yes",NA,NA,"no",NA,NA,NA,NA,"yes",NA,"yes",NA,"provenance",NA,"No, but primarily because their goal wasn't to explore the link between growing season and length but to understand how provenances differ in their growth and phenology in a common location (with all individuals experiending the same climate). This they were able to do well.",NA,"In an ideal world, it would have been cool to replicate their common garden in a lot of different places, so they could explore how climatic differences (across sites) interact with local adaptation (provenance) to climate to control growth. Or manipulating climate with warming and watering, to explose the same provenances to longer growing seasons and / or differences in water availability would also have been cool ","","","vitasse2009",NA,"yes","biomass/height/R:S"
"Vitasse 2009","JHRL","temperate deciduous forest","6","Abies alba, Acer pseudoplatanus, Fagus sylvatica, Fraxinus excelsior, Ilex aquifolium, Quercus petraea","seeds on average from 9 provenances for each species (ranging from 6-13 depending on species) located along 2 elevational gradients in the Pyrenees (French side), planted in 1 common garden at sea level in SW France","provenance trial","across provenances within species","Average of 25 individual seedlings per provenance (meaning 150+ seedlings per species)","height (annual heigh increment)","plant vegetative phenology (budburst, leafout); specifically leaf unfolding","onset vegetative",NA,"yes (for 2 of six species (fir and holly) earlier leaf unfolding led to greater growth, for one species earlier leaf unfolding led to less growth (leaf unfolding unrelated to growth for the other three species).",NA,NA,"yes (pearsons correlation coefficients in table 3)",NA,"table 3","yes",NA,NA,"no",NA,NA,NA,NA,"yes",NA,"yes",NA,"provenance",NA,"No, but primarily because their goal wasn't to explore the link between growing season and length but to understand how provenances differ in their growth and phenology in a common location (with all individuals experiending the same climate). This they were able to do well.",NA,"In an ideal world, it would have been cool to replicate their common garden in a lot of different places, so they could explore how climatic differences (across sites) interact with local adaptation (provenance) to climate to control growth. Or manipulating climate with warming and watering, to explose the same provenances to longer growing seasons and / or differences in water availability would also have been cool ","","","vitasse2009",NA,"yes","biomass/height/R:S"
"Vitasse 2009","JHRL","temperate deciduous forest","6","Abies alba, Acer pseudoplatanus, Fagus sylvatica, Fraxinus excelsior, Ilex aquifolium, Quercus petraea","seeds on average from 9 provenances for each species (ranging from 6-13 depending on species) located along 2 elevational gradients in the Pyrenees (French side), planted in 1 common garden at sea level in SW France","provenance trial","across provenances within species","Average of 25 individual seedlings per provenance (meaning 150+ seedlings per species)","height (annual heigh increment)","plant vegetative phenology (budburst, leafout); specifically leaf senescence",NA,"end vegetative","yes for 2 of six species (sycamore and beech), later leaf senescence led to greater growth. However later leaf senescence led to less growth for 1 species (oak). The other three species did not demonstrate a correlation between senescence and growth.",NA,NA,"yes (pearsons correlation coefficients in table 3)",NA,"table 3","yes",NA,NA,"no",NA,NA,NA,NA,"yes",NA,"yes",NA,"provenance",NA,"No, but primarily because their goal wasn't to explore the link between growing season and length but to understand how provenances differ in their growth and phenology in a common location (with all individuals experiending the same climate). This they were able to do well.",NA,"In an ideal world, it would have been cool to replicate their common garden in a lot of different places, so they could explore how climatic differences (across sites) interact with local adaptation (provenance) to climate to control growth. Or manipulating climate with warming and watering, to explose the same provenances to longer growing seasons and / or differences in water availability would also have been cool ","","","vitasse2009",NA,"yes","biomass/height/R:S"
"Zohner 2023","JHRL","northern forests","All (Satellite data)",NA,"Northern hemisphere","satellite data","across years within pixels (500 m pixels from 2001-2018 :MODIS)","15459 pixels","photosynthesis (from daily photosynthesis calculated from the LPJ and P models, summed per month)","satellite derived (EV1)","SOS","EOS","not mentioned",NA,NA,NA,NA,NA,"no",NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth) and EOS. So no because they did not explore GSL (although they could have) and because they switched the explanatory and response variables.","no",NA,"yes - end of growing season (EOS)",NA,"temperature (pre solstice)","yes",NA,"no",NA,NA,NA,"No. There are some really interesting patterns and lots of data, but in the end quite frustrating because there is a lot that isn't measured and in some cases could have been. The Zohner paper is really relevant to understanding how climate influences the end of season (EOS), as defined by remote sensing data (greenness declines in northern forests), the timing of leaf abscission / senescence (from phenological observations), and the decline of chlorophyll content in leaves of beech. However, they don't directly explore temperature effects or growth responses, but instead explore the effects of photosynthesis / productivity pre and post solstic on EOS... Of course, satellite data and PEP data also don't include growth measurements, so that would have been tough (although maybe they could have done something clever with NDVI integrated under the curve, or with ITRDB data for the PEP analysis), but they coudl certainly have done a better job with their experiment. They also focus entirely on EOS, so it's not always clear how the entire growing season length changes. They do use estimates of photosynthesis to calculate GPP, but they use it as an explanatory rather than a response variable.",NA,"I really wished they had looked at the entire length of the growing season rather than just EOS. And I wish they had explored how GSL linked to GPP or photosynthesis (so explored GSL, and looked at GPP as a response rather than an explanatory variable)","check figures 2, 3, 4, 5 in the manuscript","authorsfoundevidencefor_endogenousfactors notes: authors found that growth pre solstice advances satellite derived EOS, while growth post solstice delays it. This does suggest some sort of growth / developmental control on EOS, but is unsatisfying since there is no link to GSL","zohnerpreprint",NA,"no","photosynthesis"
"Zohner 2023","JHRL","temperate deciduous forests (europe)","4","Aesculus hippocastanum, Betula pendula, Fagus sylvatic, Quercus robur","Germany, Switzerland, Austria","phenology observations (PEP)","across years within individuals","12759 total individual time series (~3000 per species)","NDVI and GPP (gross primary productivity) from MODIS","plant vegetative phenology","onset vegetative","end vegetative","not mentioned",NA,NA,NA,NA,NA,"no",NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth) and EOS. So no because they did not explore GSL (although they could have) and because they switched the explanatory and response variables.","no",NA,"yes - end of growing season (EOS)",NA,"temperature (pre solstice)","yes",NA,"no",NA,NA,NA,"No. There are some really interesting patterns and lots of data, but in the end quite frustrating because there is a lot that isn't measured and in some cases could have been. The Zohner paper is really relevant to understanding how climate influences the end of season (EOS), as defined by remote sensing data (greenness declines in northern forests), the timing of leaf abscission / senescence (from phenological observations), and the decline of chlorophyll content in leaves of beech. However, they don't directly explore temperature effects or growth responses, but instead explore the effects of photosynthesis / productivity pre and post solstic on EOS... Of course, satellite data and PEP data also don't include growth measurements, so that would have been tough (although maybe they could have done something clever with NDVI integrated under the curve, or with ITRDB data for the PEP analysis), but they coudl certainly have done a better job with their experiment. They also focus entirely on EOS, so it's not always clear how the entire growing season length changes. They do use estimates of photosynthesis to calculate GPP, but they use it as an explanatory rather than a response variable.",NA,"I really wished they had looked at the entire length of the growing season rather than just EOS.","check figures 2, 3, 4, 5 in the manuscript","authorsfoundevidencefor_endogenousfactors notes: authors found that growth and temperature pre solstice advances phenology based on PEP data, while growth and temperature post solstice delays it. This does suggest some sort of developmental switch in the effects of temperature on EOS, but does not link this to GSL. ","zohnerpreprint",NA,"no","NDVI/LAI"
"Zohner 2023","JHRL","temperate deciduous forests (europe)","1","Fagus sylvatica","CHN Terrace / central low elevation Switzerland (outdoors)","greenhouse or chamber (technically CHN terrace)","across individuals","140 saplings in the whole experiment (14 in each treatment, 38 in control, 9 treatments)","leaf chlorophyll (SPAD meter)","plant vegetative phenology","none","end vegetative","not mentioned",NA,NA,NA,NA,NA,"no",NA,"they did not explore link between GSL and growth, instead, looked at the relationship between photosynthetic activity (growth) and EOS. So no because they did not explore GSL (although they could have) and because they switched the explanatory and response variables.","no",NA,"yes - end of growing season (EOS)",NA,"temperature (pre solstice)","yes",NA,"no",NA,NA,NA,"No. There are some really interesting patterns and lots of data, but in the end quite frustrating because there is a lot that isn't measured and in some cases could have been. The Zohner paper is really relevant to understanding how climate influences the end of season (EOS), as defined by remote sensing data (greenness declines in northern forests), the timing of leaf abscission / senescence (from phenological observations), and the decline of chlorophyll content in leaves of beech. However, they don't directly explore temperature effects or growth responses, but instead explore the effects of photosynthesis / productivity pre and post solstic on EOS... Of course, satellite data and PEP data also don't include growth measurements, so that would have been tough (although maybe they could have done something clever with NDVI integrated under the curve, or with ITRDB data for the PEP analysis), but they coudl certainly have done a better job with their experiment. They also focus entirely on EOS, so it's not always clear how the entire growing season length changes. They do use estimates of photosynthesis to calculate GPP, but they use it as an explanatory rather than a response variable.",NA,"They could have measured SOS and growth (height or diameter), a real missed opportunity. I also question the choice of just one species, and FASY in particular","check figures 2, 3, 4, 5 in the manuscript","authorsfoundevidencefor_endogenousfactors notes: authors found that temperature pre solstice advances leaf fall of beech, while temperature post solstice delays it. This does suggest some sort of developmental switch in the effects of temperature on EOS, but does not link this to GSL. ","zohnerpreprint",NA,"no","leaf chlorophyll (SPAD meter)"
"Finzi 2020","JHRL","Temperate deciduous forests","43","This was an ecosystem level study in the NE USA (Harvard Forest), probably included a lot of Quercus rubra and prinus, Acer rubrum and possibly saccharum, Tsuga canadensis, Pinus strobus","100's of plots at Harvard Forest, in four different locations collectively covering ~ 40 km2","synthesis","across years within sites","many plots, 100's of trees (and other measurements) went into estimates of NEP and GPP of 3 different sites","NEP and GPP (net ecosystem production and gross primary production)","not measured","onset ecosystem productivity (first day daily NEP falls above 30% of maximum)","end ecosystem productivity (first day daily NEP falls below 30% of maximum after onset)","no",NA,NA,"no","They found that an earlier onset of vegetative growth increased spring NEP at 2 sites, and a later EOS increased autumn NEP (fig 13). They also found that the duration of the growing season increased over time at the same time that NEP also increased at one site (fig 7d). See page 27 for a discussion of this","figure 13, also fig 12, fig 7d, page 19","no",NA,"They chose to partition NEP (spring, autumn) and relate it to SOS and EOS, rather than explore NEP as a function of GSL. I think they would have found a relationship given the direction of the relationships they did find. ","no",NA,"no",NA,NA,"no",NA,NA,NA,NA,NA,"No. Their goal was not to look for growing season length - growth relationships, but because they were interested in understanding the carbon budget and how it changed over time, they did end up pulling together a lot of the same data. They found a lot of trends with time that suggested increasing GSL is causing increasing growth (e.g. time by GPP, time by GSL), so they could have put it together but they didn't",NA,"I wish they had directly quantified the relationship between growing season length (as they defined from NEP) and GPP, they assumed it from time-GPP and time-GSL, as well as SOS spring NEP and EOS autumn NEP relationships… They also had some information on SOS and EOS from long-term phenological observations of 9 trees, and I think they could have done more with that if they also had growth rates (see page 10, figs. 9 and 11)","","","finzi2020",NA,"no","NEP and GPP (net ecosystem production and gross primary production)"
